,Modelo,Clasificación Energética,Mínimo,Máximo,Mínimo.1,Máximo.1
0,Volkswagen Turismos Tiguan Allspace MY22 Tiguan Allspace Life 1.5 TSI 110 kW (150 CV)  Manual 6 vel.,,"6,8","6,8","155,0","155,0"
1,Volkswagen Turismos Tiguan Allspace MY22 Tiguan Allspace Life 2.0 TDI 110 kW (150 CV)  Automatico DSG 7 vel.,,"5,7","5,7","149,0","149,0"
2,Volkswagen Turismos Tiguan Allspace MY22 Tiguan Allspace Life 2.0 TDI 110 kW (150 CV)  Manual 6 vel.,,"5,3","5,3","140,0","140,0"
3,Volkswagen Turismos Tiguan Allspace MY22 Tiguan Allspace Life 2.0 TDI 4Motion 110 kW (150 CV)  Automatico DSG 7 vel.,,"6,2","6,2","163,0","163,0"
4,Volkswagen Turismos Tiguan Allspace MY22 Tiguan Allspace R-Line 1.5 TSI 110 kW (150 CV)  Automatico DSG 7 vel.,,"7,5","7,5","171,0","171,0"
5,Volkswagen Turismos Tiguan Allspace MY22 Tiguan Allspace R-Line 2.0 TDI 110 kW (150 CV)  Automatico DSG 7 vel.,,"5,9","5,9","156,0","156,0"
6,Volkswagen Turismos Tiguan Allspace MY22 Tiguan Allspace R-Line 2.0 TDI 4Motion 110 kW (150 CV)  Automatico DSG 7 vel.,,"6,5","6,5","170,0","170,0"
7,Volkswagen Turismos Tiguan Allspace MY22 Tiguan Allspace R-Line 2.0 TDI 4Motion 147 kW (200 CV)  Automatico DSG 7 vel.,,"6,7","6,7","176,0","176,0"
8,Volkswagen Turismos Tiguan Allspace MY22 Tiguan Allspace R-Line 2.0 TSI 4Motion 140 kW (190 CV)  Automatico DSG 7 vel.,,"8,5","8,5","193,0","193,0"
9,Volkswagen Turismos TIGUAN MY22 Tiguan 1.5 TSI 96 kW (130 CV)  6 vel.,,"6,3","6,3","141,0","141,0"
10,Volkswagen Turismos TIGUAN MY22 Tiguan 2.0 TDI 90 kW (122 CV)  6 vel.,,"5,1","5,1","132,0","132,0"
11,Volkswagen Turismos TIGUAN MY22 Tiguan eHybrid Life 1.4 TSI Combinado: 180 kW (245 CV)  Automatico DSG 6 vel.,,"1,6","1,6","38,0","38,0"
12,Volkswagen Turismos TIGUAN MY22 Tiguan eHybrid R-Line 1.4 TSI Combinado: 180 kW (245 CV)  Automatico DSG 6 vel.,,"1,8","1,8","41,0","41,0"
13,Volkswagen Turismos TIGUAN MY22 Tiguan Life 1.5 TSI 110 kW (150 CV)  6 vel.,,"6,6","6,6","149,0","149,0"
14,Volkswagen Turismos TIGUAN MY22 Tiguan Life 1.5 TSI 110 kW (150 CV)  Automatico DSG 7 vel.,,"7,0","7,0","158,0","158,0"
15,Volkswagen Turismos TIGUAN MY22 Tiguan Life 1.5 TSI 96 kW (130 CV)  6 vel.,,"6,4","6,4","144,0","144,0"
16,Volkswagen Turismos TIGUAN MY22 Tiguan Life 2.0 TDI 110 kW (150 CV)  6 vel.,,"5,2","5,2","136,0","136,0"
17,Volkswagen Turismos TIGUAN MY22 Tiguan Life 2.0 TDI 110 kW (150 CV) Automatico DSG 7 vel.,,"5,6","5,6","145,0","145,0"
18,Volkswagen Turismos TIGUAN MY22 Tiguan Life 2.0 TDI 90 kW (122 CV)  6 vel.,,"5,2","5,2","134,0","134,0"
19,Volkswagen Turismos TIGUAN MY22 Tiguan R 2.0 TSI 235 kW (320 CV)  Automatico DSG 7 vel.,,"10,0","10,0","224,0","224,0"
